time[s],u[m/s]
544,8.205518e-01,1.600000e+01
545,5.889862e-01,1.100000e+01
546,9.683258e-01,1.900000e+01
547,1.226838e-01,2.000000e+00
548,4.305299e-01,8.000000e+00
549,9.806956e-01,1.900000e+01
550,7.572689e-02,1.000000e+00
551,2.799693e-01,5.000000e+00
552,8.063460e-01,1.600000e+01
553,6.246085e-01,1.200000e+01
554,9.378909e-01,1.800000e+01
555,2.330063e-01,4.000000e+00
556,7.148575e-01,1.400000e+01
557,8.153450e-01,1.600000e+01
558,6.022301e-01,1.200000e+01
559,9.581961e-01,1.900000e+01
560,1.602255e-01,3.000000e+00
561,5.382132e-01,1.000000e+01
562,9.941590e-01,1.900000e+01
563,2.322745e-02,0.000000e+00
564,9.075175e-02,1.000000e+00
565,3.300635e-01,6.000000e+00
566,8.844863e-01,1.700000e+01
567,4.086811e-01,8.000000e+00
568,9.666434e-01,1.900000e+01
569,1.289756e-01,2.000000e+00
570,4.493635e-01,8.000000e+00
571,9.897438e-01,1.900000e+01
572,4.060416e-02,0.000000e+00
573,1.558219e-01,3.000000e+00
574,5.261656e-01,1.000000e+01
575,9.972614e-01,1.900000e+01
576,1.092423e-02,0.000000e+00
577,4.321957e-02,0.000000e+00
578,1.654065e-01,3.000000e+00
579,5.521889e-01,1.100000e+01
580,9.891053e-01,1.900000e+01
581,4.310408e-02,0.000000e+00
582,1.649845e-01,3.000000e+00
583,5.510584e-01,1.100000e+01
584,9.895722e-01,1.900000e+01
585,4.127633e-02,0.000000e+00
586,1.582904e-01,3.000000e+00
587,5.329381e-01,1.000000e+01
588,9.956603e-01,1.900000e+01
589,1.728336e-02,0.000000e+00
590,6.793859e-02,1.000000e+00
591,2.532918e-01,5.000000e+00
592,7.565402e-01,1.500000e+01
593,7.367486e-01,1.400000e+01
594,7.758005e-01,1.500000e+01
595,6.957364e-01,1.300000e+01
596,8.467490e-01,1.600000e+01
597,5.190606e-01,1.000000e+01
598,9.985468e-01,1.900000e+01
599,5.804435e-03,0.000000e+00
600,2.308297e-02,0.000000e+00
601,9.020060e-02,1.000000e+00
602,3.282578e-01,6.000000e+00
603,8.820185e-01,1.700000e+01
604,4.162476e-01,8.000000e+00
605,9.719421e-01,1.900000e+01
606,1.090826e-01,2.000000e+00
607,3.887342e-01,7.000000e+00
608,9.504797e-01,1.900000e+01
609,1.882722e-01,3.000000e+00
610,6.113031e-01,1.200000e+01
611,9.504465e-01,1.900000e+01
612,1.883918e-01,3.000000e+00
613,6.116014e-01,1.200000e+01
614,9.501805e-01,1.900000e+01
615,1.893502e-01,3.000000e+00
616,6.139867e-01,1.200000e+01
617,9.480281e-01,1.800000e+01
618,1.970832e-01,3.000000e+00
619,6.329657e-01,1.200000e+01
620,9.292805e-01,1.800000e+01
621,2.628732e-01,5.000000e+00
622,7.750834e-01,1.500000e+01
623,6.973164e-01,1.300000e+01
624,8.442649e-01,1.600000e+01
625,5.259267e-01,1.000000e+01
626,9.973112e-01,1.900000e+01
627,1.072615e-02,0.000000e+00
628,4.244441e-02,0.000000e+00
629,1.625715e-01,3.000000e+00
630,5.445681e-01,1.000000e+01
631,9.920547e-01,1.900000e+01
632,3.152850e-02,0.000000e+00
633,1.221378e-01,2.000000e+00
634,4.288806e-01,8.000000e+00
635,9.797681e-01,1.900000e+01
636,7.929011e-02,1.000000e+00
637,2.920128e-01,5.000000e+00
638,8.269652e-01,1.600000e+01
639,5.723749e-01,1.100000e+01
640,9.790475e-01,1.900000e+01
641,8.205404e-02,1.000000e+00
642,3.012847e-01,6.000000e+00
643,8.420489e-01,1.600000e+01
644,5.320101e-01,1.000000e+01
645,9.959014e-01,1.900000e+01
646,1.632715e-02,0.000000e+00
647,6.424228e-02,1.000000e+00
648,2.404608e-01,4.000000e+00
649,7.305577e-01,1.400000e+01
650,7.873726e-01,1.500000e+01
651,6.696679e-01,1.300000e+01
652,8.848512e-01,1.700000e+01
653,4.075584e-01,8.000000e+00
654,9.658182e-01,1.900000e+01
655,1.320537e-01,2.000000e+00
656,4.584622e-01,9.000000e+00
657,9.930985e-01,1.900000e+01
658,2.741567e-02,0.000000e+00
659,1.066562e-01,2.000000e+00
660,3.811227e-01,7.000000e+00
661,9.434727e-01,1.800000e+01
662,2.133278e-01,4.000000e+00
663,6.712762e-01,1.300000e+01
664,8.826579e-01,1.700000e+01
665,4.142917e-01,8.000000e+00
666,9.706164e-01,1.900000e+01
667,1.140809e-01,2.000000e+00
668,4.042659e-01,8.000000e+00
669,9.633400e-01,1.900000e+01
670,1.412643e-01,2.000000e+00
671,4.852349e-01,9.000000e+00
672,9.991280e-01,1.900000e+01
673,3.485078e-03,0.000000e+00
674,1.389173e-02,0.000000e+00
675,5.479499e-02,1.000000e+00
676,2.071700e-01,4.000000e+00
